name,address,amenities,street,city,state,zipcode,minprice,maxprice,minbed,maxbed,building_type,date,Latitude,Longitude
Town Lake,"1109 S Pleasant Valley Rd, Austin, TX 78741","Dog & Cat Friendly, High-Speed Internet, Smoke Free",1109 S Pleasant Valley Rd, Austin,TX,78741,1035,0,1,0,APT,2023-10-25 18:16:07,30.2409592,-97.716
Woodway Square,"1700 Teri Rd, Austin, TX 78744","Dog & Cat Friendly, Fitness Center, Package Service, Granite Countertops",1700 Teri Rd, Austin,TX,78744,1216,0,1,2,APT,2023-10-25 18:16:07,30.2051744,-97.7559733
Vineyard Hills Apartments,"7631 US Hwy 290 W, Austin, TX 78736","Dog & Cat Friendly, Pool, Dishwasher, Maintenance on site, Online Services, Washer & Dryer Hookups",7631 US Hwy 290 W, Austin,TX,78736,1119,1429,1,2,APT,2023-10-25 18:16:07,30.3213617,-97.6940879
South Shore District,"1414 Shore District Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Maintenance on site, Controlled Access, Hardwood Floors",1414 Shore District Dr, Austin,TX,78741,1545,2712,1,2,APT,2023-10-25 18:16:07,30.24384939999999,-97.7285157
Hillside Creek,"1730-1730 E Oltorf St, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, Balcony, Maintenance on site, Gated",1730-1730 E Oltorf St, Austin,TX,78741,1038,3003,1,2,APT,2023-10-25 18:16:07,30.2331946,-97.73787220000001
Marquis at Barton Trails,"5417 S Mo Pac Expy S, Austin, TX 78749","Dog & Cat Friendly, Fitness Center, In Unit Washer & Dryer, Walk-In Closets, Balcony, Business Center, Controlled Access, Granite Countertops, Fireplace",5417 S Mo Pac Expy S, Austin,TX,78749,1199,2019,1,2,APT,2023-10-25 18:16:07,30.2308872,-97.82658149999999
Austin Midtown Apartments,"2819 Foster Ln, Austin, TX 78757","Dog & Cat Friendly, Fitness Center, Dishwasher, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse, Balcony",2819 Foster Ln, Austin,TX,78757,1209,1789,1,2,APT,2023-10-25 18:16:07,30.357032,-97.73852869999999
Crestwood,"1714-1800 Patton Ln, Austin, TX 78723","Dog & Cat Friendly, Dishwasher, Disposal, High-Speed Internet, Stainless Steel Appliances, Laundry Facilities",1714-1800 Patton Ln, Austin,TX,78723,0,0,2,0,APT,2023-10-25 18:16:07,30.3189234,-97.6880067
Remington House Apartments,"600 Barwood Park, Austin, TX 78753","Pool, Maintenance on site, Laundry Facilities",600 Barwood Park, Austin,TX,78753,1035,1185,1,2,APT,2023-10-25 18:16:07,30.3519554,-97.6964365
Barton Creek Landing,"2800 Bartons Bluff Ln, Austin, TX 78746","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse, Balcony",2800 Bartons Bluff Ln, Austin,TX,78746,1390,1579,1,0,APT,2023-10-25 18:16:07,30.2563331,-97.7955659
Summit at Westwood,"8312 Fathom Cir, Austin, TX 78750","Dog & Cat Friendly, Fitness Center, Dishwasher, Refrigerator, Kitchen, Walk-In Closets, Balcony, Range",8312 Fathom Cir, Austin,TX,78750,1200,1258,1,2,APT,2023-10-25 18:16:07,30.43638469999999,-97.778049
The Atlantic Grand Oaks,"9323 Manchaca Rd, Austin, TX 78748","Dog & Cat Friendly, Fitness Center, Pool, Maintenance on site, Package Service, Gated",9323 Manchaca Rd, Austin,TX,78748,1277,2237,1,2,APT,2023-10-25 18:16:07,30.1788998,-97.8180575
Avana SoCo,"401 Little Texas Ln, Austin, TX 78745","Dog & Cat Friendly, Pool, In Unit Washer & Dryer, Balcony, Maintenance on site, Package Service, Gated",401 Little Texas Ln, Austin,TX,78745,1176,5219,1,2,APT,2023-10-25 18:16:07,30.2003744,-97.7717718
Summit at Hyde Park,"5200 N Lamar Blvd, Austin, TX 78751","Dog & Cat Friendly, Pool, In Unit Washer & Dryer, Maintenance on site, High-Speed Internet, Gated, Laundry Facilities",5200 N Lamar Blvd, Austin,TX,78751,1233,1454,1,0,APT,2023-10-25 18:16:07,30.3204236,-97.7320163
Legends Lake Creek,"10015 Lake Creek Pky, Austin, TX 78729","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse",10015 Lake Creek Pky, Austin,TX,78729,1201,1497,1,2,APT,2023-10-25 18:16:07,30.4669886,-97.78679629999999
River Stone Ranch,"5701 S MO PAC Expy, Austin, TX 78749","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, Walk-In Closets, Clubhouse",5701 S MO PAC Expy, Austin,TX,78749,1160,2795,1,2,APT,2023-10-25 18:16:07,30.2287256,-97.8269797
Elan,"13145 N Highway 183, Austin, TX 78750","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Range",13145 N Highway 183, Austin,TX,78750,1252,5048,1,0,APT,2023-10-25 18:16:07,30.4422885,-97.778049
Stassney at SoCo,"1800 E Stassney Ln, Austin, TX 78744","Dog & Cat Friendly, Pool, Granite Countertops",1800 E Stassney Ln, Austin,TX,78744,1421,1942,1,2,APT,2023-10-25 18:16:07,30.1973155,-97.7600483
Marquis at Brushy Creek,"15510 Ranch Road 620 Rd, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse",15510 Ranch Road 620 Rd, Austin,TX,78717,1209,2089,1,2,APT,2023-10-25 18:16:07,30.4858964,-97.7366203
Lotus Village Apartments,"300 Ferguson Dr, Austin, TX 78753","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Clubhouse",300 Ferguson Dr, Austin,TX,78753,1351,2593,1,0,APT,2023-10-25 18:16:07,30.3764322,-97.6855684
MAA Canyon Pointe,"9715 N FM 620, Austin, TX 78726","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Clubhouse",9715 N FM 620, Austin,TX,78726,1128,2323,1,2,APT,2023-10-25 18:16:07,30.4368199,-97.8350497
Hillside on Cannon,"2202 E William Cannon Dr, Austin, TX 78744","Dog & Cat Friendly, Fitness Center, In Unit Washer & Dryer, Balcony, Stainless Steel Appliances",2202 E William Cannon Dr, Austin,TX,78744,0,0,2,4,APT,2023-10-25 18:16:07,30.1870366,-97.760348
Montgomery House,"2700 Nueces St, Austin, TX 78705","Dog & Cat Friendly, Fitness Center, In Unit Washer & Dryer, Stainless Steel Appliances, Courtyard, Elevator, Private Bathroom, Individual Locking Bedrooms",2700 Nueces St, Austin,TX,78705,840,1695,1,3,APT,2023-10-25 18:16:07,30.29228489999999,-97.74332539999999
Marquis at Canyon Ridge,"12000 Dessau Rd, Austin, TX 78754","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Kitchen, Walk-In Closets, Clubhouse, Balcony",12000 Dessau Rd, Austin,TX,78754,1129,2199,1,2,APT,2023-10-25 18:16:07,30.38025709999999,-97.65398449999999
M at Lakeline,"10500 Lakeline Mall Dr, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, Online Services",10500 Lakeline Mall Dr, Austin,TX,78717,1257,1803,1,4,APT,2023-10-25 18:16:07,30.4768882,-97.7903396
The Addison Apartments,"2601 Esperanza Crossing, Austin, TX 78758","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Business Center, Ceiling Fans",2601 Esperanza Crossing, Austin,TX,78758,1430,1965,1,0,APT,2023-10-25 18:16:07,30.3969523,-97.7185614
Cielo,"3499 Ranch Rd 620 S, Austin, TX 78738","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",3499 Ranch Rd 620 S, Austin,TX,78738,1244,1935,1,3,APT,2023-10-25 18:16:07,30.32623049999999,-97.9575304
M at Lakeline,"10500 Lakeline Mall Dr, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, Online Services",10500 Lakeline Mall Dr, Austin,TX,78717,1257,1803,1,4,APT,2023-10-25 18:16:07,30.4768882,-97.7903396
The Addison Apartments,"2601 Esperanza Crossing, Austin, TX 78758","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Business Center, Ceiling Fans",2601 Esperanza Crossing, Austin,TX,78758,1430,1965,1,0,APT,2023-10-25 18:16:07,30.3969523,-97.7185614
Cielo,"3499 Ranch Rd 620 S, Austin, TX 78738","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",3499 Ranch Rd 620 S, Austin,TX,78738,1244,1935,1,3,APT,2023-10-25 18:16:07,30.32623049999999,-97.9575304
Oltera in SoEast,"4404 E Oltorf St, Austin, TX 78741","Dog & Cat Friendly, Business Center, Online Services",4404 E Oltorf St, Austin,TX,78741,1510,1670,1,0,APT,2023-10-25 18:16:07,30.2282631,-97.7246547
Tides on North Plaza,"9200 North Plz, Austin, TX 78753","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Laundry Facilities, Playground",9200 North Plz, Austin,TX,78753,999,1348,1,3,APT,2023-10-25 18:16:07,30.354403,-97.6860604
Sycamore Springs,"9801 W Parmer Ln, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, Grill, Gated",9801 W Parmer Ln, Austin,TX,78717,1199,2350,1,3,APT,2023-10-25 18:16:07,30.4860123,-97.7736089
Orbit Apartments,"8900 N Interstate 35, Austin, TX 78753","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, Maintenance on site, Package Service, Laundry Facilities",8900 N Interstate 35, Austin,TX,78753,1199,1399,1,0,APT,2023-10-25 18:16:07,30.3537036,-97.6921471
Tides on Copper Creek,"9811 Copper Crk, Austin, TX 78729","Dog & Cat Friendly, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer, Walk-In Closets, Microwave, High-Speed Internet",9811 Copper Crk, Austin,TX,78729,1028,2333,1,2,APT,2023-10-25 18:16:07,30.4578155,-97.78764559999999
Bell Austin Southwest,"3621 W Slaughter Ln, Austin, TX 78749","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",3621 W Slaughter Ln, Austin,TX,78749,1396,4492,1,0,APT,2023-10-25 18:16:07,30.1844985,-97.8530577
Canyon Ridge,"12118 Walnut Park Xing, Austin, TX 78753","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Maintenance on site, Playground",12118 Walnut Park Xing, Austin,TX,78753,1188,3303,1,3,APT,2023-10-25 18:16:07,30.3928732,-97.6767459
The Flats on San Felipe,"7920 San Felipe Blvd, Austin, TX 78729","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, Walk-In Closets, Clubhouse",7920 San Felipe Blvd, Austin,TX,78729,1140,2446,1,0,APT,2023-10-25 18:16:07,30.4404523,-97.7698351
Foxwood,"6503 Bluff Springs Rd, Austin, TX 78744","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Balcony, Maintenance on site, Gated",6503 Bluff Springs Rd, Austin,TX,78744,999,1294,1,2,APT,2023-10-25 18:16:07,30.1903466,-97.7658323
Haus 5350,"5350 Burnet Rd, Austin, TX 78756","Dog & Cat Friendly, Pool, In Unit Washer & Dryer, Clubhouse, Maintenance on site, Business Center, Elevator",5350 Burnet Rd, Austin,TX,78756,1529,1879,1,2,APT,2023-10-25 18:16:07,30.3274413,-97.74014249999999
Marquis at Ladera Vista,"11624 Jollyville Rd, Austin, TX 78759","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",11624 Jollyville Rd, Austin,TX,78759,1329,2139,1,0,APT,2023-10-25 18:16:07,30.4163532,-97.7507452
Marquis at Great Hills,"10050 Great Hills Trl, Austin, TX 78759","Dog & Cat Friendly, Fitness Center, Pool, Package Service, Granite Countertops, Washer & Dryer Hookups",10050 Great Hills Trl, Austin,TX,78759,1379,2209,1,0,APT,2023-10-25 18:16:07,30.3942628,-97.7414221
Stonelake at the Arboretum,"9801 Stonelake Blvd, Austin, TX 78759","Dog & Cat Friendly, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse",9801 Stonelake Blvd, Austin,TX,78759,1180,2370,1,2,APT,2023-10-25 18:16:07,30.3892741,-97.7382329
Chevy Chase,"7581 Chevy Chase Dr, Austin, TX 78752","Dog & Cat Friendly, Fitness Center, Pool, Controlled Access, Playground, Tennis",7581 Chevy Chase Dr, Austin,TX,78752,1093,4222,1,3,APT,2023-10-25 18:16:07,30.3399136,-97.7048437
The Lantern,"12403 Mellow Meadow Dr, Austin, TX 78750","Dog & Cat Friendly, Pool, Maintenance on site, Washer & Dryer Hookups",12403 Mellow Meadow Dr, Austin,TX,78750,1374,1544,1,2,APT,2023-10-25 18:16:07,30.4569306,-97.7962678
Canyon Resort at Great Hills Apartments,"8701 Bluffstone Cv, Austin, TX 78759","Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Walk-In Closets, Clubhouse, Balcony, CableReady",8701 Bluffstone Cv, Austin,TX,78759,1320,2230,1,0,APT,2023-10-25 18:16:07,30.39104589999999,-97.7656518
Bexley at Whitestone,"9826 N Lake Creek Pky, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",9826 N Lake Creek Pky, Austin,TX,78717,1264,1830,1,3,APT,2023-10-25 18:16:07,30.4721807,-97.7925638
Wildcreek Apartments,"1511 Faro Dr, Austin, TX 78741","Dog & Cat Friendly, Pool, Grill, Laundry Facilities, Basketball Court",1511 Faro Dr, Austin,TX,78741,999,1149,1,2,APT,2023-10-25 18:16:07,30.23565,-97.713873
MAA East Austin,"6600 Ed Bluestein Blvd, Austin, TX 78723","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",6600 Ed Bluestein Blvd, Austin,TX,78723,1128,1813,1,2,APT,2023-10-25 18:16:07,30.3055356,-97.66325789999999
Marquis at Treetops,"5217 Old Spicewood Springs Rd, Austin, TX 78731","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Kitchen, Walk-In Closets, Clubhouse, Balcony",5217 Old Spicewood Springs Rd, Austin,TX,78731,1479,2429,1,3,APT,2023-10-25 18:16:07,30.3805414,-97.76966580000001
Ashford Costa Brava,"6407 Springdale Rd, Austin, TX 78723","Dog & Cat Friendly, Fitness Center, Pool, Maintenance on site, High-Speed Internet, Washer & Dryer Hookups",6407 Springdale Rd, Austin,TX,78723,1099,1249,1,2,APT,2023-10-25 18:16:07,30.3066174,-97.6688456
MAA Western Oaks,"8801 La Cresada Dr, Austin, TX 78749","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Microwave",8801 La Cresada Dr, Austin,TX,78749,1468,2978,1,0,APT,2023-10-25 18:16:07,30.2051944,-97.86531529999999
Cascade Apartments,"1221 Algarita Ave, Austin, TX 78704","Dog & Cat Friendly, Pool, In Unit Washer & Dryer, Maintenance on site, Business Center",1221 Algarita Ave, Austin,TX,78704,1055,1424,1,4,APT,2023-10-25 18:16:07,30.2373595,-97.74145299999999
Marquis SoCo,"304 E William Cannon Dr, Austin, TX 78745","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",304 E William Cannon Dr, Austin,TX,78745,1409,2129,1,0,APT,2023-10-25 18:16:07,30.1926844,-97.77618079999999
Sabina,"3400 Harmon Ave, Austin, TX 78705","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",3400 Harmon Ave, Austin,TX,78705,1479,2209,1,3,APT,2023-10-25 18:16:07,30.292976,-97.722741
Toscana Apartments,"13355 N US Highway 183, Austin, TX 78750","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",13355 N US Highway 183, Austin,TX,78750,1194,3469,1,2,APT,2023-10-25 18:16:07,30.448176,-97.7848708
Cortland Southpark Terraces,"10001 S 1st St, Austin, TX 78748","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Stainless Steel Appliances, Package Service, Controlled Access, Granite Countertops",10001 S 1st St, Austin,TX,78748,1224,1620,1,2,APT,2023-10-25 18:16:07,30.1611945,-97.7986811
Hudson Miramont,"8818 Travis Hills Dr, Austin, TX 78735","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Maintenance on site, Business Center, Package Service",8818 Travis Hills Dr, Austin,TX,78735,1499,1549,1,0,APT,2023-10-25 18:16:07,30.2591176,-97.89222939999999
Gallery at Domain,"1119 Alterra Pky, Austin, TX 78758","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Online Services, Washer & Dryer Hookups, EV Charging",1119 Alterra Pky, Austin,TX,78758,1332,3442,1,2,APT,2023-10-25 18:16:07,30.4006457,-97.7200625
Ashford Costa Esmeralda,"1601 E Anderson Ln, Austin, TX 78752","Dog & Cat Friendly, Fitness Center, Pool, Maintenance on site, Gated, Laundry Facilities, Playground",1601 E Anderson Ln, Austin,TX,78752,1199,1443,1,2,APT,2023-10-25 18:16:07,30.3307949,-97.6842472
Alister Oak Hill,"8800 Highway 290 W, Austin, TX 78736","Dog & Cat Friendly, Dishwasher, In Unit Washer & Dryer, EV Charging",8800 Highway 290 W, Austin,TX,78736,0,0,2,0,APT,2023-10-25 18:16:07,30.2354876,-97.9174755
Beck at Wells Branch,"2801 Wells Branch Pky, Austin, TX 78728","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",2801 Wells Branch Pky, Austin,TX,78728,1200,1325,1,2,APT,2023-10-25 18:16:07,30.4403115,-97.6890946
95twenty Apartments,"9520-9521 Spectrum Dr, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, Business Center, Gated, Online Services",9520-9521 Spectrum Dr, Austin,TX,78717,1182,4140,1,3,APT,2023-10-25 18:16:07,30.4823549,-97.77170149999999
Nueces House,"2300 Nueces St, Austin, TX 78705","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Stainless Steel Appliances, Courtyard, Elevator, Individual Locking Bedrooms",2300 Nueces St, Austin,TX,78705,919,1838,1,4,APT,2023-10-25 18:16:07,30.2870797,-97.74396019999999
Callista Hill Country Apartments,"8600 State Highway 71, Austin, TX 78735","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Package Service, Granite Countertops, Gated",8600 State Highway 71, Austin,TX,78735,1165,1930,1,0,APT,2023-10-25 18:16:07,30.249484,-97.8920739
Bexley at Anderson Mill,"8601 Anderson Mill Rd, Austin, TX 78729","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",8601 Anderson Mill Rd, Austin,TX,78729,1099,1309,1,3,APT,2023-10-25 18:16:07,30.4550996,-97.76803969999999
Saratoga Ridge,"6307 Bluff Springs Rd, Austin, TX 78744","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Stainless Steel Appliances, Package Service, Granite Countertops",6307 Bluff Springs Rd, Austin,TX,78744,1100,1445,1,2,APT,2023-10-25 18:16:07,30.19114949999999,-97.7652983
The Olivine,"3201 Century Park Blvd, Austin, TX 78727","Dog & Cat Friendly, Fitness Center, Pool, Maintenance on site, Package Service, Online Services, Tennis",3201 Century Park Blvd, Austin,TX,78727,1345,1976,1,2,APT,2023-10-25 18:16:07,30.4347184,-97.69759099999999
Bexley at Tech Ridge,"1200 E Parmer Ln, Austin, TX 78753","Dog & Cat Friendly, Fitness Center, Pool, Business Center, Package Service, EV Charging",1200 E Parmer Ln, Austin,TX,78753,1259,1446,1,3,APT,2023-10-25 18:16:07,30.3951434,-97.6532026
Landing at Double Creek,"11301 Farrah Ln, Austin, TX 78748","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Maintenance on site, Package Service, EV Charging",11301 Farrah Ln, Austin,TX,78748,1193,1429,1,0,APT,2023-10-25 18:16:07,30.1400312,-97.8000093
Marquis Parkside,"12820 N Lamar Blvd, Austin, TX 78753","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, Walk-In Closets, Clubhouse",12820 N Lamar Blvd, Austin,TX,78753,1229,2419,1,2,APT,2023-10-25 18:16:07,30.4152482,-97.6780117
Griffis SoCo Austin,"500 E Stassney Ln, Austin, TX 78745","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, High-Speed Internet, Stainless Steel Appliances, Gated",500 E Stassney Ln, Austin,TX,78745,1265,1540,1,0,APT,2023-10-25 18:16:07,30.2030045,-97.7707418
Alta Blue Goose,"8110 Blue Goose Rd, Manor, TX 78653","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Walk-In Closets, Stainless Steel Appliances",8110 Blue Goose Rd, Manor,TX,78653,1330,1585,1,0,APT,2023-10-25 18:16:07,30.3387,-97.60175
Broadstone North Ridge,"3118 CR 172, Round Rock, TX 78681","Dog & Cat Friendly, Pool, In Unit Washer & Dryer, Package Service, EV Charging",3118 CR 172, Round Rock,TX,78681,1390,1483,1,0,APT,2023-10-25 18:16:07,30.5184228,-97.70908539999999
Jovie Pflugerville,"1305 E Wells Branch Pky, Pflugerville, TX 78660","Dog & Cat Friendly, Pool",1305 E Wells Branch Pky, Pflugerville,TX,78660,1425,2309,1,2,APT,2023-10-25 18:16:07,30.427039,-97.6315238
The Dalton,"2209 W Pflugerville Pky, Pflugerville, TX 78664","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",2209 W Pflugerville Pky, Pflugerville,TX,78664,1313,1959,1,0,APT,2023-10-25 18:16:07,30.4750903,-97.6598166
Enclave on Ross,"4700 Ross Rd, Del Valle, TX 78617","Dog & Cat Friendly, Fitness Center, Pool, High-Speed Internet, Gated, EV Charging, Smoke Free",4700 Ross Rd, Del Valle,TX,78617,1250,0,1,2,APT,2023-10-25 18:16:07,30.1844859,-97.61000779999999
Marquis on Lakeline,"2800 S Lakeline Blvd, Cedar Park, TX 78613","Dog & Cat Friendly, Fitness Center, In Unit Washer & Dryer, Clubhouse, Business Center",2800 S Lakeline Blvd, Cedar Park,TX,78613,1409,2249,1,2,APT,2023-10-25 18:16:07,30.4759282,-97.81075059999999
Landing at Round Rock,"7711 O'Connor Dr, Round Rock, TX 78681","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",7711 O'Connor Dr, Round Rock,TX,78681,1271,4982,1,4,APT,2023-10-25 18:16:07,30.5005241,-97.7246853
Bexley at Lakeline,"2801 S Lakeline Blvd, Cedar Park, TX 78613","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",2801 S Lakeline Blvd, Cedar Park,TX,78613,1174,1399,1,2,APT,2023-10-25 18:16:07,30.4741258,-97.80955230000001
Broadstone Grand Avenue,"1720 Grand Avenue Pky, Pflugerville, TX 78660","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Grill, Business Center, Package Service, Granite Countertops",1720 Grand Avenue Pky, Pflugerville,TX,78660,1249,1451,1,0,APT,2023-10-25 18:16:07,30.457486,-97.662807
Lakewood,"14200 The Lakes Blvd, Pflugerville, TX 78660","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",14200 The Lakes Blvd, Pflugerville,TX,78660,1215,1676,1,0,APT,2023-10-25 18:16:07,30.4282829,-97.66570910000002
Lakeline Villas,"2201 S Lakeline Blvd, Cedar Park, TX 78613","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Clubhouse, Balcony, Maintenance on site, High-Speed Internet",2201 S Lakeline Blvd, Cedar Park,TX,78613,1322,1399,1,0,APT,2023-10-25 18:16:07,30.4786893,-97.8221602
Villas at Tech Ridge,"13838 The Lakes Blvd, Pflugerville, TX 78660","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Stainless Steel Appliances, Granite Countertops",13838 The Lakes Blvd, Pflugerville,TX,78660,1360,1648,1,0,APT,2023-10-25 18:16:07,30.4236373,-97.6682327
Caliza,"12638 Ridgeline Blvd, Cedar Park, TX 78613","Dog & Cat Friendly, Fitness Center, Pool, Refrigerator, Kitchen, In Unit Washer & Dryer, Balcony, Business Center, Granite Countertops",12638 Ridgeline Blvd, Cedar Park,TX,78613,1311,2119,1,3,APT,2023-10-25 18:16:07,30.4661926,-97.80940679999999
Legacy Ranch @ Dessau East 55+ Community,"13527 Harrisglenn Dr, Pflugerville, TX 78660","Dog Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",13527 Harrisglenn Dr, Pflugerville,TX,78660,992,1545,1,2,APT,2023-10-25 18:16:07,30.4070639,-97.6404434
Presidium Pecan District,"1809 Social Dr, Pflugerville, TX 78660","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Business Center, Courtyard, Gated",1809 Social Dr, Pflugerville,TX,78660,1345,1634,1,2,APT,2023-10-25 18:16:07,30.444258,-97.64341019999999
Farmhouse Apartments,"10801 S Interstate 35, Austin, TX 78747",0,10801 S Interstate 35, Austin,TX,78747,1295,1764,1,0,APT,2023-10-25 18:16:07,30.144264,-97.79311299999999
Cortland Arboretum,"10011 Stonelake Blvd, Austin, TX 78759",0,10011 Stonelake Blvd, Austin,TX,78759,1287,1592,1,2,APT,2023-10-25 18:16:07,30.3923168,-97.7382329
South Lamar Village,"3505 S Lamar Blvd, Austin, TX 78704",0,3505 S Lamar Blvd, Austin,TX,78704,1457,5451,1,2,APT,2023-10-25 18:16:07,30.2387289,-97.78656269999999
The Rail,"2921 E 17th St, Austin, TX 78702",0,2921 E 17th St, Austin,TX,78702,1465,1549,1,0,APT,2023-10-25 18:16:07,30.2785574,-97.7101636
Nexus East,"720 Airport Blvd, Austin, TX 78702",0,720 Airport Blvd, Austin,TX,78702,1310,2080,1,2,APT,2023-10-25 18:16:07,30.2527529,-97.69365599999999
The Monterra,"13401 W Legendary Dr, Austin, TX 78727",0,13401 W Legendary Dr, Austin,TX,78727,1401,2135,1,0,APT,2023-10-25 18:16:07,30.43859369999999,-97.733398
Agave Falls,"1901 E Anderson Ln, Austin, TX 78752",0,1901 E Anderson Ln, Austin,TX,78752,1106,1466,1,2,APT,2023-10-25 18:16:07,30.328301,-97.679205
Karnes House,"2222 Rio Grande St, Austin, TX 78705",0,2222 Rio Grande St, Austin,TX,78705,0,0,2,0,APT,2023-10-25 18:16:07,30.2865492,-97.7456595
Sur512,"5010 S Congress Ave, Austin, TX 78745",0,5010 S Congress Ave, Austin,TX,78745,1298,2029,1,0,APT,2023-10-25 18:16:07,30.2117001,-97.77212469999999
Cortland River Place,"10301 Farm-to-Market Rd 2222 Rd 2222, Austin, TX 78730",0,10301 Farm-to-Market Rd 2222 Rd 2222, Austin,TX,78730,1257,1544,1,2,APT,2023-10-25 18:16:07,30.3732514,-97.8395151
