name,address,amenities,street,city,state,zipcode,minprice,maxprice,minbed,maxbed,building_type,date,Latitude,Longitude,closest_theater_distance_miles,closest_grocery_distance_miles
Estates at East Riverside,"1300 Crossing Pl, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, High-Speed Internet, Stainless Steel Appliances, Gated",1300 Crossing Pl, Austin,TX,78741,0,0,2,0,APT,2023-10-25 18:16:07,30.2414843,-97.7115806,3.265415343143221,0.7217068102384402
Starburst Apartments,"8800 N Interstate 35, Austin, TX 78753","Fitness Center, Dishwasher, Refrigerator, In Unit Washer & Dryer, Clubhouse, Balcony, Range, Maintenance on site",8800 N Interstate 35, Austin,TX,78753,1199,1499,1,0,APT,2023-10-25 18:16:07,30.3526662,-97.6932872,2.529025037430714,0.8754613251961736
Edison Riverside,"4711 E Riverside Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Stainless Steel Appliances, Business Center, Granite Countertops, Rooftop Deck",4711 E Riverside Dr, Austin,TX,78741,1399,1699,1,0,APT,2023-10-25 18:16:07,30.2310129,-97.7191256,3.1727102645035714,0.4161662381699472
Bristol Heights,"12041 Dessau Rd, Austin, TX 78754","Dog & Cat Friendly, Maintenance on site, EV Charging",12041 Dessau Rd, Austin,TX,78754,1212,1366,1,2,APT,2023-10-25 18:16:07,30.3807655,-97.6518017,4.687630820172307,2.023418074260238
Highline Apartments,"13201 Legendary Dr, Austin, TX 78727","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Package Service, Online Services",13201 Legendary Dr, Austin,TX,78727,1325,1900,1,0,APT,2023-10-25 18:16:07,30.4372906,-97.7305977,3.4708555268997276,0.7673026789973784
Midtown Commons,"810 W St Johns Ave, Austin, TX 78752","Dog & Cat Friendly, Fitness Center, Pool, Maintenance on site, Package Service, Controlled Access, Elevator",810 W St Johns Ave, Austin,TX,78752,1387,3311,1,0,APT,2023-10-25 18:16:07,30.3402078,-97.7180961,1.6950406909961158,1.4236788625131198
The Aspect,"4900 E Oltorf St, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Package Service, Controlled Access, Hardwood Floors",4900 E Oltorf St, Austin,TX,78741,1417,1517,1,2,APT,2023-10-25 18:16:07,30.2228023,-97.7211563,3.3631561301880715,0.9437783672851368
Bell Southpark,"10500 S IH 35 Frontage Rd, Austin, TX 78748","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Balcony, Maintenance on site, Stainless Steel Appliances",10500 S IH 35 Frontage Rd, Austin,TX,78748,1205,2895,1,0,APT,2023-10-25 18:16:07,30.1488948,-97.7958395,0.5266380398834842,0.5266380398834842
Terra,"8300 Bluff Springs Rd, Austin, TX 78744","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Balcony, Package Service, EV Charging",8300 Bluff Springs Rd, Austin,TX,78744,1193,3764,1,0,APT,2023-10-25 18:16:07,30.1699086,-97.7733762,1.5249894636107935,0.7915454473560368
Aspire at Del Valle,"6514 Ross Rd, Del Valle, TX 78617","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, High-Speed Internet, Controlled Access, EV Charging",6514 Ross Rd, Del Valle,TX,78617,1300,1650,1,0,APT,2023-10-25 18:16:07,30.16324879999999,-97.6369802,8.291019819862738,7.172510269284151
The Parker Austin,"610 E Wells Branch Pky, Pflugerville, TX 78660","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Stainless Steel Appliances, Granite Countertops, Gated",610 E Wells Branch Pky, Pflugerville,TX,78660,1503,1545,1,0,APT,2023-10-25 18:16:07,30.4298326,-97.6433092,1.7268972404930554,1.5147657121442175
Tacara Steiner Ranch,"4306 N Quinlan Park Rd, Austin, TX 78732","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer, Clubhouse, Balcony",4306 N Quinlan Park Rd, Austin,TX,78732,1217,1661,1,2,APT,2023-10-25 18:16:07,30.3859095,-97.8867233,6.171288935322212,2.46852350898099
Bell Lakeshore,"2515 Elmont Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse",2515 Elmont Dr, Austin,TX,78741,1485,2708,1,2,APT,2023-10-25 18:16:07,30.2390219,-97.7207209,2.819533486110554,0.19847499129700855
Platform,"2823 E Martin Luther King Jr Blvd, Austin, TX 78702","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Package Service, Elevator, Online Services, EV Charging",2823 E Martin Luther King Jr Blvd, Austin,TX,78702,1448,4320,1,2,APT,2023-10-25 18:16:07,30.2808681,-97.7099338,1.262766920359799,1.4736946327976912
Estancia Villas,"1200 Estancia Pky, Austin, TX 78748","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",1200 Estancia Pky, Austin,TX,78748,1107,1242,1,2,APT,2023-10-25 18:16:07,30.1230092,-97.8061834,2.41838318992183,2.41838318992183
Hardrock Canyon,"10300 Jollyville Rd, Austin, TX 78759","Dog & Cat Friendly, Maintenance on site, Business Center, Controlled Access",10300 Jollyville Rd, Austin,TX,78759,1207,1549,1,0,APT,2023-10-25 18:16:07,30.396338,-97.7518986,0.93202153004292,0.052585185379637356
The Terrace at Walnut Creek,"8712 Old Manor Rd, Austin, TX 78724","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, Walk-In Closets, Clubhouse, Balcony, Patio, Business Center",8712 Old Manor Rd, Austin,TX,78724,1244,0,1,2,APT,2023-10-25 18:16:07,30.3275364,-97.6416725,4.253113285508797,1.622408128679735
Overture Arboretum 60+ Active Adult Apartm...,"10600 Jollyville Rd, Austin, TX 78759","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",10600 Jollyville Rd, Austin,TX,78759,1523,2052,1,0,APT,2023-10-25 18:16:07,30.3997076,-97.7501584,1.0310458691142115,0.1364217231822375
Palo Verde,"7880 US 290 Hwy W, Austin, TX 78736","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",7880 US 290 Hwy W, Austin,TX,78736,1299,1514,1,3,APT,2023-10-25 18:16:07,30.231035,-97.8870804,2.4800694997845576,0.23057612892301807
AMLI Lakeline,"13500 Lyndhurst St, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",13500 Lyndhurst St, Austin,TX,78717,1516,2334,1,3,APT,2023-10-25 18:16:07,30.477396,-97.7868885,1.0051447238095352,0.6515783365082143
Park at Estancia,"820 Camino Vaquero Pky, Austin, TX 78748","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Maintenance on site, Controlled Access",820 Camino Vaquero Pky, Austin,TX,78748,1409,1749,1,0,APT,2023-10-25 18:16:07,30.1258358,-97.8029348,2.1752254834633806,2.1752254834633806
Bexley SoCo,"6001 S Congress Ave, Austin, TX 78745","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, Maintenance on site, Business Center",6001 S Congress Ave, Austin,TX,78745,1479,1572,1,3,APT,2023-10-25 18:16:07,30.2011411,-97.7749341,0.36864329189812733,0.926603134710309
Anthem at Ledge Stone,"383 Rocky Ridge Trl, Austin, TX 78737","Dog & Cat Friendly, Dishwasher, Business Center",383 Rocky Ridge Trl, Austin,TX,78737,1436,2023,1,3,APT,2023-10-25 18:16:07,30.2075347,-97.9806161,6.702665005597655,0.5076868730503145
Alexan Waterloo,"700 E 11th St, Austin, TX 78701","Cat Friendly, Fitness Center, Pool, Clubhouse, Package Service, Controlled Access, Elevator, Rooftop Deck",700 E 11th St, Austin,TX,78701,1399,0,1,0,APT,2023-10-25 18:16:07,30.2711201,-97.733947,2.0465949460301145,0.4276166655167451
East Vue Ranch Apartments,"460 Bastrop Hwy SB, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Controlled Access, Yard",460 Bastrop Hwy SB, Austin,TX,78741,1451,4228,1,2,APT,2023-10-25 18:16:07,30.23683429999999,-97.6888268,4.36643430813078,1.990201875975088
